ID_KA;ID_KU;ACRONYM;NAME;DATE;LOCATION;DEADLINE (unused);;CONGRESS_ID;DEADLINE
100;1000;CEVVE 2021;2021 International Conference on Electric Vehicle and Vehicle Engineering (CEVVE 2021);Sep 17, 2021 - Sep 19, 2021;Frankfurt, Germany;Jul 31, 2021;31/07/2021;1;2021-07-31
100;1000;ACNS 2021;19th International Conference on Applied Cryptography and Network Security;Jun 21, 2021 - Jun 24, 2021;Kamakura, Japan;Jan 15, 2021;15/01/2021;2;2021-01-15
100;1000;IJCIS 2021;International Journal on Cryptography and Information Security;N/A;N/A;Feb 20, 2021;20/02/2021;3;2021-02-20
100;1000;SECRYPT 2021;18th International Conference on Security and Cryptography;Jul 6, 2021 - Jul 8, 2021;Online Streaming;Apr 1, 2021;1/04/2021;4;2021-04-01
100;1000;IJNSA 2021;International Journal of Network Security & Its Applications- ERA Listed;N/A;N/A;Feb 20, 2021;20/02/2021;5;2021-02-20
100;1000;CAIJ 2021;Computer Applications: An International Journal;N/A;N/A;Feb 20, 2021;20/02/2021;6;2021-02-20
100;1000;EAI AC3 2021;EAI International Conference on Applied Cryptography in Computer and Communications;May 15, 2021 - May 16, 2021;Xiamen, People's Republic of China;Jan 7, 2021;7/01/2021;7;2021-01-07
100;1000;PDCTA 2021;10th International Conference on Parallel, Distributed Computing Technologies and Applications;May 29, 2021 - May 30, 2021;Vancouver, Canada;Feb 20, 2021;20/02/2021;8;2021-02-20
100;1000;CRIS 2021;7th International Conference on Cryptography and Information Security;Mar 27, 2021 - Mar 28, 2021;Sydney, Australia;Feb 20, 2021;20/02/2021;9;2021-02-20
100;1000;Scopus-MSME 2021;The 4th International Conference on Materials Science and Manufacturing Engineering;Nov 5, 2021 - Nov 7, 2021;Beijing, China;May 15, 2021;15/05/2021;10;2021-05-15
100;1000;CTCM 2021;7th International Conference of Control Theory and Computer Modelling;Oct 23, 2021 - Oct 24, 2021;Sydney, Australia;Feb 20, 2021;20/02/2021;11;2021-02-20
100;1000;CSEIJ 2021;Computer Science & Engineering: An International Journal;N/A;N/A;Feb 20, 2021;20/02/2021;12;2021-02-20
100;1000;CRYPIS 2021;10th International Conference on Cryptography and Information Security;Jun 26, 2021 - Jun 27, 2021;Sydney, Australia;Feb 27, 2021;27/02/2021;13;2021-02-27
100;1000;ISDFS 2021;9th International Symposium on Digital Forensics and Security;Jun 28, 2021 - Jun 29, 2021;Elazig, Turkey and Online;Apr 2, 2021;2/04/2021;14;2021-04-02
100;1000;CSP--IEEE, Scopus, Ei 2021;IEEE--2021 5th International Conference on Cryptography, Security and Privacy (CSP 2021)--Scopus, Ei Compendex;Jan 8, 2021 - Jan 10, 2021;Zhuhai, China;Nov 20, 2020;20/11/2020;15;2020-11-20
100;1000;IJITMC 2021;The International Journal of Information Technology, Modeling and Computing;N/A;N/A;Feb 20, 2021;20/02/2021;16;2021-02-20
100;1000;EMSA 2021;10th International Conference on Embedded Systems and Applications;Jun 19, 2021 - Jun 20, 2021;Copenhagen, Denmark;Feb 27, 2021;27/02/2021;17;2021-02-27
100;1000;Mal-IoT 2021;6th International Workshop on Malicious Software and Hardware in the Internet of Things;May 11, 2021 - May 11, 2021;Virtual event;Feb 20, 2021;20/02/2021;18;2021-02-20
100;1000;IEEE--CSP--Scopus, Ei Compendex 2021;IEEE--2021 5th International Conference on Cryptography, Security and Privacy (CSP 2021)--Scopus, Ei Compendex;Jan 8, 2021 - Jan 10, 2021;Zhuhai, China;Nov 20, 2020;20/11/2020;19;2020-11-20
100;1000;EEIEJ 2021;Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal;N/A;N/A;Feb 20, 2021;20/02/2021;20;2021-02-20
100;1000;CST 2021;8th International Conference on Foundations of Computer Science & Technology;Dec 23, 2021 - Dec 24, 2021;Sydney, Australia;Mar 13, 2021;13/03/2021;21;2021-03-13
100;1000;IJCSITY 2021;International Journal of Computational Science and Information Technology;N/A;N/A;Feb 20, 2021;20/02/2021;22;2021-02-20
100;1000;APKC 2021;The 8th ACM ASIA Public-Key Cryptography Workshop;Jun 7, 2021 - Jun 11, 2021;Hong Kong, China;Jan 8, 2021;8/01/2021;23;2021-01-08
100;1000;IJWesT 2021;International Journal of Web & Semantic Technology;N/A;N/A;Feb 20, 2021;20/02/2021;24;2021-02-20
100;1000;Cyber Systems at HICSS 2021;Cyber Systems: Their Science, Engineering, and Security;Jan 5, 2021 - Jan 8, 2021;Kauai, HI, USA;Jun 15, 2020 (Oct 1, 2020);15/06/2020;25;2020-06-15
100;1000;IEEE OJ-CS Special Section 2021;Special Section on Cybersecurity: Privacy, Attack, and Defense;N/A;N/A;Jul 31, 2020;31/07/2020;26;2020-07-31
100;1001;EICC 2021;European Interdisciplinary Cybersecurity Conference (EICC 2021);Nov 10, 2021 - Nov 11, 2021;Targu Mures, Romania;Jun 14, 2021;14/06/2021;27;2021-06-14
100;1001;ISDFS 2021;9th International Symposium on Digital Forensics and Security;Jun 28, 2021 - Jun 29, 2021;Elazig, Turkey and Online;Apr 2, 2021;2/04/2021;28;2021-04-02
100;1001;CfW EICC 2021;Call for Workshops: European Interdisciplinary Cybersecurity Conference (EICC 2021);Nov 10, 2021 - Nov 11, 2021;Targu Mures, Romania;Mar 15, 2021;15/03/2021;29;2021-03-15
100;1001;ISC HPC 2021;ISC HIGH PERFORMANCE 2021 DIGITAL;Jun 24, 2021 - Jul 2, 2021;Digital;Dec 21, 2021 (Dec 14, 2020);21/12/2021;30;2021-12-21
