KSAT_ID;KSAT_Type;KSAT_Description
30001;Task;Acquire and manage the necessary resources, including leadership support, financial resources, and key security personnel, to support information technology (IT) security goals and objectives and reduce overall organizational risk.
30002;Task;Acquire necessary resources, including financial resources, to conduct an effective enterprise continuity of operations program.
30003;Task;Advise senior management (e.g., Chief Information Officer [CIO]) on risk levels and security posture.
30004;Task;Advise senior management (e.g., CIO) on cost/benefit analysis of information security programs, policies, processes, systems, and elements.
30005;Task;Advise appropriate senior leadership or Authorizing Official of changes affecting the organization's cybersecurity posture.
30006;Task;Advocate organization's official position in legal and legislative proceedings.
30007;Task;Analyze and define data requirements and specifications.
30008;Task;Analyze and plan for anticipated changes in data capacity requirements.
30009;Task;Analyze information to determine, recommend, and plan the development of a new application or modification of an existing application.
30010;Task;Analyze organization's cyber defense policies and configurations and evaluate compliance with regulations and organizational directives.
30011;Task;Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
30012;Task;Analyze design constraints, analyze trade-offs and detailed system and security design, and consider life cycle support.
30013;Task;"Apply coding and testing standards, apply security testing tools including ""'fuzzing"" static-analysis code scanning tools, and conduct code reviews."
30014;Task;Apply secure code documentation.
30015;Task;Apply security policies to applications that interface with one another, such as Business-to-Business (B2B) applications.
30016;Task;Apply security policies to meet security objectives of the system.
30017;Task;Apply service-oriented security architecture principles to meet organization's confidentiality, integrity, and availability requirements.
30018;Task;Assess the effectiveness of cybersecurity measures utilized by system(s).
30019;Task;Assess threats to and vulnerabilities of computer system(s) to develop a security risk profile.
30020;Task;Develop content for cyber defense tools.
30021;Task;Build, test, and modify product prototypes using working models or theoretical models.
30022;Task;Capture security controls used during the requirements phase to integrate security within the process, to identify key security objectives, and to maximize software security while minimizing disruption to plans and schedules.
30023;Task;Characterize and analyze network traffic to identify anomalous activity and potential threats to network resources.
30024;Task;Collect and maintain data needed to meet system cybersecurity reporting.
30025;Task;Communicate the value of information technology (IT) security throughout all levels of the organization stakeholders.
30026;Task;Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.
30027;Task;Conduct analysis of log files, evidence, and other information to determine best methods for identifying the perpetrator(s) of a network intrusion.
30028;Task;Conduct and/or support authorized penetration testing on enterprise network assets.
30029;Task;Conduct functional and connectivity testing to ensure continuing operability.
30030;Task;Conduct interactive training exercises to create an effective learning environment.
30031;Task;Conduct interviews of victims and witnesses and conduct interviews or interrogations of suspects.
30032;Task;Conduct Privacy Impact Assessments (PIAs) of the application’s security design for the appropriate security controls, which protect the confidentiality and integrity of Personally Identifiable Information (PII).
30033;Task;Conduct risk analysis, feasibility study, and/or trade-off analysis to develop, document, and refine functional requirements and specifications.
30034;Task;Confer with systems analysts, engineers, programmers, and others to design application and to obtain information on project limitations and capabilities, performance requirements, and interfaces.
30035;Task;Configure and optimize network hubs, routers, and switches (e.g., higher-level protocols, tunneling).
30036;Task;Confirm what is known about an intrusion and discover new information, if possible, after identifying intrusion via dynamic analysis.
30037;Task;Construct access paths to suites of information (e.g., link pages) to facilitate access by end-users.
30038;Task;Develop threat model based on customer interviews and requirements.
30039;Task;Consult with customers to evaluate functional requirements.
30040;Task;Consult with engineering staff to evaluate interface between hardware and software.
30041;Task;Coordinate and provide expert technical support to enterprise-wide cyber defense technicians to resolve cyber defense incidents.
30042;Task;Coordinate with Cyber Defense Analysts to manage and administer the updating of rules and signatures (e.g., intrusion detection/protection systems, antivirus, and content blacklists) for specialized cyber defense applications.
30043;Task;Coordinate with enterprise-wide cyber defense staff to validate network alerts.
30044;Task;Collaborate with stakeholders to establish the enterprise continuity of operations program, strategy, and mission assurance.
30045;Task;Coordinate with systems architects and developers, as needed, to provide oversight in the development of design solutions.
30046;Task;Correct errors by making appropriate changes and rechecking the program to ensure that desired results are produced.
30047;Task;Correlate incident data to identify specific vulnerabilities and make recommendations that enable expeditious remediation.
30048;Task;Create a forensically sound duplicate of the evidence (i.e., forensic image) that ensures the original evidence is not unintentionally modified, to use for data recovery and analysis processes. This includes, but is not limited to, hard drives, floppy diskettes, CDs, PDAs, mobile phones, GPS, and all tape formats.
30049;Task;Decrypt seized data using technical means.
30050;Task;Define and prioritize essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.
30051;Task;Define appropriate levels of system availability based on critical system functions and ensure that system requirements identify appropriate disaster recovery and continuity of operations requirements to include any appropriate fail-over/alternate site requirements, backup requirements, and material supportability requirements for system recover/restoration.
30052;Task;Define project scope and objectives based on customer requirements.
30053;Task;Design and develop cybersecurity or cybersecurity-enabled products.
30054;Task;Design group policies and access control lists to ensure compatibility with organizational standards, business rules, and needs.
30055;Task;Design hardware, operating systems, and software applications to adequately address cybersecurity requirements.
30056;Task;Design or integrate appropriate data backup capabilities into overall system designs, and ensure that appropriate technical and procedural processes exist for secure system backups and protected storage of backup data.
30057;Task;Design, develop, and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.
30058;Task;Determine level of assurance of developed capabilities based on test results.
30059;Task;Develop a plan to investigate alleged crime, violation, or suspicious activity utilizing computers and the Internet.
30060;Task;Develop an understanding of the needs and requirements of information end-users.
30061;Task;Develop and direct system testing and validation procedures and documentation.
30062;Task;Develop and document requirements, capabilities, and constraints for design procedures and processes.
30063;Task;Develop and document systems administration standard operating procedures.
30064;Task;Review and validate data mining and data warehousing programs, processes, and requirements.
30065;Task;Develop and implement network backup and recovery procedures.
30066;Task;Develop and maintain strategic plans.
30067;Task;Develop architectures or system components consistent with technical specifications.
30068;Task;Develop data standards, policies, and procedures.
30069;Task;Develop detailed security design documentation for component and interface specifications to support system design and development.
30070;Task;Develop Disaster Recovery and Continuity of Operations plans for systems under development and ensure testing prior to systems entering a production environment.
30071;Task;Develop/integrate cybersecurity designs for systems and networks with multilevel security requirements or requirements for the processing of multiple classification levels of data primarily applicable to government organizations (e.g., UNCLASSIFIED, SECRET, and TOP SECRET).
30072;Task;Develop methods to monitor and measure risk, compliance, and assurance efforts.
30073;Task;Develop new or identify existing awareness and training materials that are appropriate for intended audiences.
30074;Task;Develop policy, programs, and guidelines for implementation.
30075;Task;Provide technical summary of findings in accordance with established reporting procedures.
30076;Task;Develop risk mitigation strategies to resolve vulnerabilities and recommend security changes to system or system components as needed.
