ID_PAPER;ID_KO;ID_SECTOR;AUTHOR;TITLE;YEAR;SOURCE_TITLE;LINK;ABSTRACT;DOI;AUTHOR_KEYWORD;FK_INDEX KEYWORD;SOURCE;DOCUMENT_TYPE
120000;49;30;Senzanje A., Boelee E., Rusere S.;Multiple use of water and water productivity of communal small dams in the Limpopo Basin, Zimbabwe;2008;Irrigation and Drainage Systems;10.1007/s10795-008-9053-7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-59749099255&doi=10.1007%2fs10795-008-9053-7&partnerID=40&md5=0c4638671b113e7d07df2196de6b4ff2;The history of dam construction in Zimbabwe dates back to the 1920s and since then over 7,000 small dams have been constructed countrywide. Small dams are multipurpose structures used for improving rural livelihoods. The multipurpose nature of these dams has largely gone unquantified in terms of importance of the uses to the community and influence of management practises. The current study made use of a questionnaire among small dam users, key informant interviews, secondary data and observation on four communal dams in the Limpopo basin to establish the uses, volume of water abstracted and water productivity for some uses and the interrelationship between various organisations and the community in the management of small dams. Uses on all dams in order of importance were livestock watering, domestic use, irrigation, fishing, brick making, and collection of reeds used for roofing. Livestock consume on average over 70% of water for consumptive uses. Water productivity in terms of yield per volume unit of water used ranged from 0.025 kg m-3 for vegetables to 7,575 kg m-3 for bricks, and monetary values per volume unit of water used were Z$ 389,434 m-3 for brick making and Z$ 1,874 m-3 for irrigation. Traditional leadership and the community are pivotal in the management of the small dams, with some organisations giving technical, financial and input assistance. The management and conservation of small dams needs to be well coordinated between the communities, NGOs and government if the full benefits of these national resources are to be realised in the long term. © Springer Science+Business Media B.V. 2008.;"Communal; Management; Monetary value; Multiple use; Small dam; Water productivity; Zimbabwe";"Agriculture; Brick; Brickmaking; Building materials; Dams; Hydraulic structures; Irrigation; Land use; Management; Productivity; Public key cryptography; Water resources; Communal; Monetary value; Multiple use; Small dam; Water productivity; Zimbabwe; Water conservation; dam construction; irrigation; management practice; nongovernmental organization; water management; water planning; water use; Africa; Limpopo River; Southern Africa; Sub-Saharan Africa; Zimbabwe";Article;Scopus
120001;46;30;Hong I.-H., Dang J.-F., Tsai Y.-H., Liu C.-S., Lee W.-T., Wang M.-L., Chen P.-C.;An RFID application in the food supply chain: A case study of convenience stores in Taiwan;2011;Journal of Food Engineering;10.1016/j.jfoodeng.2011.04.014;https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957773152&doi=10.1016%2fj.jfoodeng.2011.04.014&partnerID=40&md5=475f94c83227211dda5a57187669f3af;Food hazards can appear at any stage of global food supply chains, making it essential to define critical control points to capture the data about ingredients, manufacture and dates-certain (sell-by, use-by), etc., and provide it in a transparent manner to supply chain participants and consumers. The government of Taiwan has appointed a non-profit research organization to conduct a pilot project to launch a potential national-wide food traceability system to increase the intangible value of purchased food and to enhance food safety. This paper discusses a financially viable business model for a Radio Frequency Identification (RFID) application to a food traceability system. We conduct a case study of RFID implementation in the chain of convenience stores in Taiwan. The Taiwanese experiment may have implications for policy-makers, industry and public health officials elsewhere. © 2011 Elsevier Ltd. All rights reserved.;"Food traceability system; Radio frequency identification (RFID); Supply chain";"Business models; Convenience stores; Critical control points; Food hazards; Non-profit; Pilot projects; Policy makers; Public health; Radio frequencies; Research organization; RFID applications; Traceability systems; Agriculture; Cryptography; Food supply; Health; Profitability; Radio waves; Research; Supply chain management; Supply chains; Radio frequency identification (RFID)";Article;Scopus
120002;47;30;;;;;;;;;;;
120003;48;30;;;;;;;;;;;
120004;50;30;Senzanje A., Boelee E., Rusere S.;Multiple use of water and water productivity of communal small dams in the Limpopo Basin, Zimbabwe;2008;Irrigation and Drainage Systems;10.1007/s10795-008-9053-7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-59749099255&doi=10.1007%2fs10795-008-9053-7&partnerID=40&md5=0c4638671b113e7d07df2196de6b4ff2;The history of dam construction in Zimbabwe dates back to the 1920s and since then over 7,000 small dams have been constructed countrywide. Small dams are multipurpose structures used for improving rural livelihoods. The multipurpose nature of these dams has largely gone unquantified in terms of importance of the uses to the community and influence of management practises. The current study made use of a questionnaire among small dam users, key informant interviews, secondary data and observation on four communal dams in the Limpopo basin to establish the uses, volume of water abstracted and water productivity for some uses and the interrelationship between various organisations and the community in the management of small dams. Uses on all dams in order of importance were livestock watering, domestic use, irrigation, fishing, brick making, and collection of reeds used for roofing. Livestock consume on average over 70% of water for consumptive uses. Water productivity in terms of yield per volume unit of water used ranged from 0.025 kg m-3 for vegetables to 7,575 kg m-3 for bricks, and monetary values per volume unit of water used were Z$ 389,434 m-3 for brick making and Z$ 1,874 m-3 for irrigation. Traditional leadership and the community are pivotal in the management of the small dams, with some organisations giving technical, financial and input assistance. The management and conservation of small dams needs to be well coordinated between the communities, NGOs and government if the full benefits of these national resources are to be realised in the long term. © Springer Science+Business Media B.V. 2008.;"Communal; Management; Monetary value; Multiple use; Small dam; Water productivity; Zimbabwe";"Agriculture; Brick; Brickmaking; Building materials; Dams; Hydraulic structures; Irrigation; Land use; Management; Productivity; Public key cryptography; Water resources; Communal; Monetary value; Multiple use; Small dam; Water productivity; Zimbabwe; Water conservation; dam construction; irrigation; management practice; nongovernmental organization; water management; water planning; water use; Africa; Limpopo River; Southern Africa; Sub-Saharan Africa; Zimbabwe";Article;Scopus
120005;50;30;Laster S.S., Pace K.;Cryptography versus cryptanalysis in wireless sensor networks;2007;Conference Proceedings - IEEE SOUTHEASTCON;10.1109/SECON.2007.342920;https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547663152&doi=10.1109%2fSECON.2007.342920&partnerID=40&md5=45ed3e4d7242b4071b2bf1b5dcdb0f12;Recent advancement in wireless communications and electronics has enabled the development of low-cost sensor networks, multifunctional sensor nodes that are small in size and communicate unethered in short distances. Wireless Sensor networks have currently drawn a lot of interest due to the range of applications they enable. A wireless sensor network is a special kind of ah-hoc network with distributed sensing and processing capability that can be used in a wide range of applications, such as free-way traffic, wildlife monitoring, environmental monitoring, industrial applications, precision agriculture, and military applications. Sensor networks permit cost-effective sensing mainly in applications where human observation or traditional sensors would be costly, dangerous, inefficient, and detrimental. Since sensor networks are widely deployed, they are exposed to various security threats that can adversely affect the success of important applications. Securing sensor networks have been an ongoing challenge due to their unique nature as an application and a network, and due to their limited capabilities. Wireless sensor networks may be more vulnerable to attacks, because of their potential for physical isolation. Additionally, due to their low processor capabilities, wireless sensor networks do not have the capacity to utilize sophisticated anti-intrusion prevention technologies. The deeper sensors are embedded into an environment the more frequently the case that they will become more vulnerable to physical attacks and potentially compromising sensor nodes' security. For example, an attacker may provide incorrect location references by replaying the beacon packets intercepted in different locations. Moreover, an attacker may compromise a beacon node and distribute malicious location references by lying about the beacon node's location or manipulating the beacon signal. In either of these circumstances, the non-beacon nodes will incorrectly establish their locations. Therefore, securing sensor nodes is an important factor in deployment. Cryptography can be employed to help protect wireless sensor networks from the various threats of hostile attacks. Cryptography's objective in a wireless sensor network is to construct methods or protocols that can still exe achieve certain tasks even in the presence of an adversary. On the other hand, cryptanalysis is embedded into a wireless sensor network in order to attempt to circumvent any type of cryptographic scheme. In many instances, cryptanalysis outweighs cryptography by far. Subsequently, in a wireless sensor network if cryptanalysis outweighs cryptography then the sensor network is at a high risk of opening the network for numerous hostile attacks. Sensor nodes that have cryptographic algorithms, protocols, or scheme are more likely survive a cryptanalysis attack or hostile attack than sensor nodes that are unprotected from such threats. These small devices contain confidential data that is deemed significant to that environment in which it is monitoring. On the other hand, if a sensor network attacked by an adversary this could cause the entire network to fail in maintaining confidentiality. Maintaining a cryptanalysis free environment determines the success of a senor network. Nevertheless, the ability to maintain a cryptanalysis free environment is the ultimate goal of a wireless senor network. In the paper, the focus is to show the importance maintaining an efficient cryptographic wireless sensor network versus a cryptanalysis wireless senor network. © 2007 IEEE.;;"Cryptanalysis; Free way traffic; Multifunctional sensor nodes; Wildlife monitoring; Ad hoc networks; Cryptography; Industrial applications; Telecommunication traffic; Wireless telecommunication systems; Wireless sensor networks";Conference Paper;Scopus
120006;51;30;;;;;;;;;;;
120007;52;30;;;;;;;;;;;
120008;49;31;?en A.;The US fashion industry: A supply chain review;2008;International Journal of Production Economics;10.1016/j.ijpe.2007.05.022;https://www.scopus.com/inward/record.uri?eid=2-s2.0-47049091951&doi=10.1016%2fj.ijpe.2007.05.022&partnerID=40&md5=a279391f0e096b14cc7b3f6b3f46555c;The fashion industry has short product life cycles, tremendous product variety, volatile and unpredictable demand, and long and inflexible supply processes. These characteristics, a complex supply chain and wide availability of data make the industry a suitable avenue for efficient supply chain management practices. The industry has also been in a transition over the last 20 years: significant consolidation in retail, majority of apparel manufacturing operations moving overseas and, more recently, increasing use of electronic commerce in retail and wholesale trade. This paper aims to review the current state of operations and recent trends across the fashion supply chain in the US. We use industry-wide data, articles from business journals, industry reviews and extensive interviews with an apparel manufacturer in California, and a major US department store chain to describe the current operational practices and how the industry is restructuring itself during the transition, focusing at the apparel manufacture and retail segments of the supply chain. © 2008 Elsevier B.V. All rights reserved.;"Fashion industry; Industry review; Supply chain management";"Commerce; Competition; Electronic commerce; Industrial economics; Industry; Manufacture; Public key cryptography; Retail stores; Sales; Supply chains; apparel manufacturers; apparel manufacturing; California; Chain management; Complex supply chain; Current state; Department store; Elsevier (CO); Fashion industry; Operational practices; Product variety; Recent trends; short product; Transition (Jel Classifications:E52 ,E41 ,E31); Supply chain management";Article;Scopus
120009;46;31;Song Z., Skuric A., Ji K.;A Recursive Watermark Method for Hard Real-Time Industrial Control System Cyber-Resilience Enhancement;2020;IEEE Transactions on Automation Science and Engineering;10.1109/TASE.2019.2963257;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083223892&doi=10.1109%2fTASE.2019.2963257&partnerID=40&md5=e36e677f8fb13d1e513c83ec55a8f571;Cybersecurity is of vital importance to industrial control systems (ICSs), such as ship automation, manufacturing, building, and energy automation systems. Many control applications require hard real-time channels, where the delay and jitter are in the levels of milliseconds or less. To the best of our knowledge, no encryption algorithm is fast enough for hard real-time channels of existing industrial fieldbuses and, therefore, made mission-critical applications vulnerable to cyberattacks, e.g., delay and data injection attacks. In this article, we propose a novel recursive watermark (RWM) algorithm for hard real-time control system data integrity validation. Using a watermark key, a transmitter applies watermark noise to hard real-time signals and sends through the unencrypted hard real-time channel. The same key is transferred to the receiver by the encrypted nonreal-time channel. With the same key, the receiver can detect if the data have been modified by the attackers and take action to prevent catastrophic damages. We provide analysis and methods to design proper watermark keys to ensure reliable attack detection. We use a ship propulsion control system for the simulation-based case study, where our algorithm smoothly shuts down the system after attacks. We also evaluated the algorithm speed on a Siemens S7-1500 programmable logic controller (PLC). This hardware experiment demonstrated that the RWM algorithm takes about 2.8~\mu \text{s} to add or validate the watermark noise on one sample data point. As a comparison, common cryptic hashing algorithms can hardly process a small data set under 100 ms. The proposed RWM is about 32 to 1375 times faster than the standard approaches. Note to Practitioners - It is widely believed that the emerging Internet-of-Things (IoT) technologies will seamlessly connect countless smart devices, profoundly change the industry. Traditionally, field devices within the feedback control loops are isolated from the Internet by secure gateways. In the future, field devices will connect to the Internet in a more direct manner. To the best of our knowledge, no encryption algorithm is fast enough for hard real-time channels of existing industrial fieldbuses and, therefore, made mission-critical applications vulnerable to cyberattacks. We propose a novel recursive watermark (RWM) algorithm for hard real-time control system data integrity validation. This article serves industry practitioners in three ways. First, it is a timely caution to industrial IoT (IIoT) pilot users on the security challenges in real-time channels. Once a compromised edge device is connected to a field device, attackers have unlimited means to jeopardize valuable assets. In this article, we gave an example where attackers may damage shipboard assets by introducing millisecond-level delays. Second, since hard real-time encryption is not available, we propose a detour solution. With the proposed algorithm, even attackers may read the content in the real-time channel, and they cannot change it without being detected. We implemented the real-time RWM algorithms in structured control language (SCL) and tested on a Siemens S7-1500 programmable logic controller (PLC). Third, we provide theoretical analysis as design guidelines for practitioners to set up or customize the RWM algorithm per their specific applications. © 2004-2012 IEEE.;"Cyber resilience; cyber security; delay attack; industrial control system (ICSs); Internet of Things (IoT); watermark";"Automation; Computer circuits; Controllers; Cryptography; Industrial internet of things (IIoT); Network security; Programmable logic controllers; Programmed control systems; Real time control; Ship propulsion; Ships; Watermarking; Encryption algorithms; Feedback control loops; Hard real-time control; Industrial control systems; Internet of Things (IOT); Mission critical applications; Programmable logic controllers (PLC); Propulsion control systems; Computer control systems";Article;Scopus
